snsint2,intfreq,smart2,device1b,device1c,web1a,web1b,web1c,web1d,web1e,pial5a,pial5b,pial5c,pial11,pial12,books1,books2a,books2b,books2c,Age,sex,marital,educ2,emplnw,party
1,2,1,1,1,0,1,1,1,1,2,1,2,3,3,3,1,2,2,24,2,2,6,1,2
1,2,1,1,1,1,1,0,1,1,4,2,4,3,3,13,1,2,2,23,2,6,8,4,2
1,1,1,1,1,0,1,1,1,1,2,1,4,3,2,5,1,2,2,23,2,6,7,4,2
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,23,2,6,7,4,2
1,2,1,1,1,1,1,1,1,1,1,5,1,1,3,30,1,1,1,22,2,6,7,4,2
1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,20,1,2,1,22,2,6,6,4,4
1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,2,1,22,2,6,6,4,2
1,1,1,2,1,1,0,1,0,1,4,5,4,1,1,40,1,2,2,72,1,1,8,1,2
2,2,1,2,1,0,0,0,0,1,1,3,6,3,1,0,1,2,2,68,1,1,8,3,4
1,2,1,1,1,0,0,1,0,0,3,2,3,1,1,12,1,1,2,67,1,1,8,1,3
1,2,1,1,1,0,0,1,0,1,1,1,2,1,3,6,1,2,2,66,1,1,7,3,5
1,1,1,1,1,1,0,1,0,1,1,1,2,3,3,40,1,2,1,65,1,2,8,1,3
1,2,1,1,1,0,0,1,0,1,1,1,6,1,1,10,1,2,2,65,1,1,6,1,2
1,1,1,1,1,1,1,1,0,1,4,1,2,3,1,5,1,2,1,65,1,1,8,1,2
1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,65,1,1,8,1,4
1,2,1,2,1,1,1,1,0,1,2,2,3,3,3,40,1,2,1,64,1,1,8,2,4
1,2,1,1,1,0,1,0,0,1,2,1,3,3,1,1,1,2,2,64,1,1,4,4,1
2,2,1,2,1,0,0,0,0,1,2,3,6,3,3,62,1,2,1,62,1,1,8,3,1
1,2,1,2,1,1,0,1,1,1,6,1,4,1,1,12,2,1,2,57,1,1,8,4,2
1,2,1,2,1,0,0,1,0,1,4,4,4,3,3,12,1,2,1,49,1,1,8,1,2
1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,30,1,2,1,45,1,1,5,1,2
1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,10,1,2,1,42,1,1,8,4,2
1,2,1,1,1,1,1,1,0,1,3,1,2,3,1,15,1,2,1,40,1,1,8,4,2
2,2,1,2,1,0,0,0,0,1,6,1,4,3,1,20,1,1,1,38,1,1,6,4,2
1,1,1,2,1,0,0,1,0,1,6,1,1,3,3,2,1,2,2,38,1,1,4,1,3
1,1,1,2,1,1,1,1,0,1,4,3,2,3,1,45,1,1,1,37,1,1,8,1,2
1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,45,1,2,1,37,1,2,6,1,2
1,1,1,2,1,1,1,1,0,1,6,2,1,3,1,0,2,2,2,37,1,6,4,1,3
1,1,1,2,1,0,0,1,0,1,6,1,3,1,1,3,1,2,1,36,1,1,8,1,2
1,1,1,1,1,0,0,1,0,1,4,1,1,3,1,10,1,2,1,35,1,1,7,1,2
1,2,1,2,1,1,1,1,0,1,2,3,4,1,1,8,1,1,2,35,1,1,8,1,4
1,1,1,2,1,0,1,1,0,1,4,2,3,1,1,5,2,1,1,35,1,1,8,1,2
1,2,1,1,1,1,1,1,0,1,3,3,3,1,1,26,1,1,2,34,1,4,6,1,5
1,1,1,1,1,0,0,0,0,0,1,1,6,3,1,21,1,2,1,34,1,6,6,1,4
1,1,1,1,1,1,0,1,0,1,6,1,2,1,1,4,1,2,1,34,1,6,6,1,2
1,2,1,2,1,0,1,1,0,1,3,2,2,3,3,97,1,2,2,33,1,6,8,1,5
1,1,1,1,1,1,1,0,0,1,2,1,2,3,3,15,2,2,1,33,1,2,6,1,3
1,1,1,1,1,1,1,1,0,1,3,2,2,2,1,97,1,1,1,32,1,2,8,4,2
1,2,1,1,1,1,0,1,1,1,3,5,3,1,1,50,1,2,1,32,1,1,8,1,2
1,1,1,2,1,1,1,1,0,1,3,1,1,1,1,30,1,2,1,32,1,6,6,4,2
1,1,1,2,1,0,1,0,0,1,1,1,2,3,1,20,1,2,2,32,1,1,8,1,5
1,1,1,2,1,0,0,1,0,1,6,1,3,1,1,12,1,2,1,32,1,2,8,1,2
1,1,1,1,1,1,1,0,0,1,6,1,3,3,1,10,1,1,1,32,1,1,6,1,2
1,1,1,2,1,0,1,1,1,1,4,1,3,1,1,5,1,1,2,32,1,6,8,1,2
1,2,1,1,1,0,1,1,0,1,3,1,3,1,1,3,1,1,2,32,1,1,7,4,3
1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,32,1,1,6,1,1
1,1,1,2,1,1,0,1,0,1,2,1,1,3,3,50,1,2,1,31,1,1,6,4,2
1,1,1,1,1,1,1,1,0,1,2,5,4,1,1,20,1,1,1,31,1,1,8,1,4
1,2,1,1,1,0,1,1,0,1,2,1,3,1,1,10,1,2,1,31,1,1,8,1,2
1,1,1,1,1,1,0,0,0,1,4,1,4,3,1,10,1,2,2,31,1,2,8,4,2
1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,6,1,2,1,31,1,1,6,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,4,1,2,1,31,1,1,6,4,2
1,1,1,2,1,1,1,1,0,1,3,5,1,1,1,4,1,2,1,31,1,6,8,2,3
1,1,1,1,2,1,1,1,0,1,6,2,1,1,1,4,2,1,1,31,1,6,8,4,3
1,2,1,1,1,1,1,1,0,1,3,2,3,3,3,2,1,1,1,31,1,6,6,2,4
1,2,1,2,1,0,1,1,0,1,3,3,3,3,3,1,1,2,2,31,1,6,8,4,4
1,2,1,1,1,1,0,1,0,1,3,2,3,1,1,0,2,2,2,31,1,6,6,1,2
2,3,1,2,1,0,0,0,0,1,4,2,6,3,3,10,1,2,2,30,1,4,8,1,4
1,2,1,2,1,0,1,1,0,1,3,1,2,1,3,10,2,2,1,30,1,1,6,1,4
1,1,1,1,1,1,1,1,0,0,3,1,2,3,3,7,1,1,1,30,1,2,6,1,4
1,1,1,1,1,1,1,1,1,1,2,5,5,1,1,6,1,2,2,30,1,6,4,1,3
1,1,1,1,1,1,1,1,0,1,4,1,2,1,1,3,1,2,1,30,1,6,8,2,4
1,2,1,2,1,0,0,1,0,1,6,1,3,3,2,3,1,2,2,30,1,6,7,1,2
1,2,1,2,1,0,1,1,0,1,6,1,3,3,1,22,1,2,1,29,1,6,6,1,2
1,1,1,1,1,1,0,0,0,1,4,1,2,1,1,10,1,1,1,29,1,2,8,1,2
1,1,1,2,1,1,0,1,1,1,6,1,3,1,1,9,1,1,1,29,1,6,6,4,3
1,2,1,2,1,1,0,1,0,1,3,1,4,1,3,5,1,1,1,29,1,6,7,1,2
1,1,1,1,1,0,1,1,0,1,4,5,1,3,1,5,1,2,1,29,1,1,8,4,3
1,1,1,1,1,1,0,1,0,1,4,2,3,1,1,30,1,1,1,28,1,2,6,1,4
1,2,1,2,1,1,0,1,1,1,3,1,3,1,1,10,1,2,2,28,1,6,4,2,3
1,1,1,2,1,1,1,1,0,1,4,3,3,1,1,6,2,1,1,28,1,6,6,4,4
1,2,1,2,1,1,0,1,0,1,1,5,1,1,1,3,1,2,2,28,1,6,7,1,3
1,2,1,2,1,1,0,1,0,1,4,4,4,3,3,2,1,2,2,28,1,6,8,1,5
1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,2,1,2,2,28,1,6,6,1,2
1,1,1,2,1,1,1,1,1,1,3,1,3,1,1,1,2,1,2,28,1,6,6,4,2
1,1,1,1,1,1,1,1,0,1,3,1,3,1,2,1,2,2,2,28,1,6,8,4,2
1,1,1,2,1,0,1,1,0,1,5,1,4,1,1,50,1,2,1,27,1,6,6,1,4
1,1,1,1,1,0,0,0,1,1,4,1,4,3,3,40,1,2,1,27,1,6,7,4,3
1,1,1,2,1,0,0,1,0,1,6,1,3,3,1,30,1,2,1,27,1,6,8,2,3
1,1,1,1,1,0,1,1,0,1,3,3,2,1,1,10,1,2,1,27,1,6,6,1,3
1,2,1,2,1,0,0,1,0,1,6,3,4,3,1,10,1,2,2,27,1,6,8,1,3
1,2,1,2,1,1,0,1,0,1,4,1,4,1,1,6,1,2,1,27,1,2,6,1,2
1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,1,2,1,27,1,2,7,4,2
1,2,1,1,1,0,0,1,0,1,6,4,4,2,2,3,1,2,2,27,1,1,7,2,1
1,1,1,2,1,1,1,1,0,1,4,5,1,1,3,20,2,2,1,26,1,6,8,4,2
1,1,1,2,1,1,1,1,1,1,2,1,2,3,3,11,1,2,1,26,1,6,7,4,2
1,2,1,1,1,1,1,1,0,1,6,3,3,1,1,10,1,2,1,26,1,6,8,4,2
1,1,1,2,1,1,1,1,1,1,3,1,2,1,3,8,1,2,1,26,1,6,7,4,2
1,1,1,2,1,1,0,0,1,1,6,1,2,1,1,20,2,1,1,25,1,3,6,2,5
1,2,1,2,1,0,1,1,1,1,1,3,4,1,1,15,1,2,1,25,1,6,6,1,5
1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,10,1,2,2,25,1,2,7,2,2
1,1,1,2,1,0,1,0,1,1,6,1,3,3,3,9,1,2,2,25,1,6,7,1,3
1,1,1,2,1,0,0,1,1,1,4,1,3,1,1,5,1,2,1,25,1,2,8,4,2
1,1,1,1,1,1,0,1,1,1,4,1,2,1,1,4,2,2,1,25,1,6,8,1,2
1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,4,1,2,2,25,1,6,8,1,2
1,2,1,1,1,1,1,1,1,1,3,5,2,1,1,3,1,2,1,25,1,2,8,4,2
1,1,1,2,1,0,1,1,1,1,3,1,2,1,1,10,1,1,1,24,1,6,8,1,3
1,1,1,2,1,0,1,1,1,1,6,2,2,1,1,5,1,2,2,24,1,6,7,4,3
2,1,1,2,1,0,0,0,1,0,6,1,3,1,1,2,2,2,1,24,1,6,7,4,3
1,1,1,2,1,1,0,0,1,1,4,5,3,1,3,1,2,2,1,24,1,6,6,1,3
1,1,1,2,1,0,1,0,1,1,4,4,4,1,1,97,1,1,2,23,1,6,6,1,3
1,1,1,2,1,0,0,1,1,1,6,2,3,1,3,1,2,2,1,23,1,6,6,1,4
1,2,1,1,1,0,1,0,0,1,6,2,4,1,3,12,1,2,1,22,1,6,6,1,4
1,1,1,2,1,0,0,0,0,1,4,2,4,1,1,5,1,2,1,22,1,6,6,2,4
1,1,1,1,1,1,1,1,0,1,6,1,1,3,1,5,2,1,1,22,1,6,6,4,3
1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,22,1,6,7,1,4
1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,4,1,2,1,22,1,6,7,1,3
1,1,1,1,1,1,0,0,0,1,6,4,4,1,3,4,1,2,1,21,1,6,6,4,4
1,2,1,2,1,1,1,1,0,1,4,1,2,1,1,4,1,2,1,20,1,6,6,4,4
1,1,1,1,1,0,0,1,1,1,6,2,2,3,3,5,1,2,1,19,1,2,3,1,2
1,1,1,2,1,1,1,1,1,1,6,2,2,1,1,20,1,2,1,18,1,6,2,1,2
